Location,Site,Sample,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1,iChao-1,ACE
Igueosagie,<50%,BT3,10,13,0.07692,0.9231,2.485,1.2,1.49,2.774,3.509,1.079,19.86,0.3077,43.23,43.23,76.38
Igueosagie,<50%,BT4,8,16,0.2,0.8,1.934,0.8647,1.272,2,2.525,0.9301,6.367,0.4375,22.06,23.28,27.78
Igueosagie,<50%,BT5,5,7,0.1429,0.8571,1.761,1.163,0.9619,1.89,2.056,1.094,7.824,0.4286,10.14,10.71,17.89
Igueosagie,<50%,BT6,10,16,0.1083,0.8917,2.345,1.043,1.506,2.5,3.246,1.018,11.41,0.3125,36.25,37.88,38.67
Igueosagie,<50%,BT7,11,21,0.1524,0.8476,2.267,0.8777,1.538,2.4,3.285,0.9456,9.332,0.381,24.33,43.09,39.84
Igueosagie,<50%,BT8,8,12,0.07576,0.9242,2.271,1.211,1.401,2.309,2.817,1.092,10.49,0.25,11.06,14.51,14.05
Igueosagie,<50%,BT9,10,17,0.1324,0.8676,2.272,0.9695,1.478,2.425,3.177,0.9866,10.19,0.3529,36.35,38,41.56
Igueosagie,<50%,BT10,6,8,0.07143,0.9286,2.045,1.289,1.152,2.121,2.404,1.142,10.91,0.25,7.75,9.5,12
Igueosagie,>50%,BT1,3,3,0,1,1.432,1.396,0.5973,1.732,1.82,1.303,0,0.3333,5,5,5
Igueosagie,>50%,BT2,1,1,,,0,1,0,1,0,,0,1,1,1,1
Igueosagie,>50%,BT3,1,1,,,0,1,0,1,0,,0,1,1,1,1
Igueosagie,>50%,BT4,3,3,0,1,1.432,1.396,0.5973,1.732,1.82,1.303,0,0.3333,5,5,5
Igueosagie,>50%,BT5,5,7,0.1429,0.8571,1.761,1.163,0.9619,1.89,2.056,1.094,7.824,0.4286,10.14,10.71,17.89
Igueosagie,>50%,BT6,8,18,0.3007,0.6993,1.729,0.7041,1.144,1.886,2.422,0.8313,5.518,0.5556,15.08,25,35.47
Igueosagie,>50%,BT7,4,9,0.1944,0.8056,1.477,1.095,0.9472,1.333,1.365,1.066,2.759,0.3333,4.444,4.528,4.5
Igueosagie,>50%,BT8,1,1,,,0,1,0,1,0,,0,1,1,1,1
Igueosagie,>50%,BT9,6,9,0.1667,0.8333,1.859,1.069,1.069,2,2.276,1.037,7.867,0.4444,14.89,14.89,27.56
Igueosagie,>50%,BT10,4,9,0.4167,0.5833,1.169,0.805,0.6914,1.333,1.365,0.8435,2.759,0.6667,6.667,6.667,12.75
