Family,Chromolaena_level,Carabidae,Chrysomelidae,Curculionidae,Cydnidae,Elateridae ,Formicidae,Gryllidae,Lampyridae,Linyphiidae,Muscidae,Plataspidae,Scarabaeidae,Spirostreptidae,Tenebrionidae,Theridiosomatidae,Unknown,Method
BT5,>50%,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,BT
BT6,>50%,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,BT
BT7,>50%,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,BT
BT8,>50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT9,>50%,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,BT
BT10,>50%,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,BT
PT1,>50%,0,0,0,1,1,4,3,0,1,0,0,0,0,0,0,1,PT
PT2,>50%,0,0,1,0,0,8,0,0,0,1,0,2,0,0,0,0,PT
PT3,>50%,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,PT
PT4,>50%,1,0,0,0,0,4,0,0,3,0,0,5,0,0,1,1,PT
PT5,>50%,1,0,0,0,1,2,3,0,3,1,0,1,0,0,0,1,PT
PT6,>50%,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,PT
PT7,>50%,1,0,1,0,1,2,0,0,0,2,0,1,0,0,0,0,PT
PT8,>50%,3,0,0,0,1,1,0,0,0,0,0,2,0,0,2,1,PT
PT9,>50%,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,PT
PT10,>50%,1,0,0,0,1,2,1,0,0,1,0,3,0,0,1,1,PT
PT11,>50%,0,0,0,0,1,4,2,0,0,0,0,3,0,0,0,0,PT
PT12,>50%,0,0,0,0,1,3,1,0,0,1,0,7,0,0,0,0,PT
PT13,>50%,0,0,1,0,2,7,1,0,0,1,0,0,0,0,0,1,PT
PT14,>50%,1,0,1,0,0,8,2,0,0,0,0,6,0,0,0,1,PT
PT15,>50%,1,0,0,4,1,3,3,0,1,1,0,16,0,0,2,1,PT
