"","Family","Chromolaena_level","BT1","BT2","BT3","BT4","BT5","BT6","BT7","BT8","BT9","BT10"
"216","Oxycarenidae","<50%",0,0,0,0,0,0,0,0,0,0
"217","Oxycarenidae",">50%",0,0,0,0,0,0,0,0,0,0
"218","Palpimanidae","0%",0,0,0,0,0,0,0,0,0,0
"219","Palpimanidae","<50%",0,0,0,0,0,0,0,0,0,0
"220","Palpimanidae",">50%",0,0,0,0,0,0,0,0,0,0
"221","Paradoxomatidae","0%",0,0,0,0,0,0,0,0,0,0
"222","Paradoxomatidae","<50%",0,0,0,0,0,0,0,0,0,0
"223","Paradoxomatidae",">50%",0,0,0,0,0,0,0,0,0,0
"224","Pentatomidae","0%",0,0,0,0,0,0,1,0,0,0
"225","Pentatomidae","<50%",1,0,0,0,0,0,0,0,0,0
"226","Pentatomidae",">50%",1,0,0,0,0,0,0,0,0,0
"227","Phalangopsidae","0%",0,0,0,0,0,0,0,0,0,0
"228","Phalangopsidae","<50%",0,0,0,0,0,0,0,0,0,0
"229","Phalangopsidae",">50%",0,0,0,0,0,0,0,0,0,0
"230","Pholcidae","0%",0,1,0,0,0,0,0,0,0,0
"231","Pholcidae","<50%",0,0,0,0,0,0,0,0,0,0
"232","Pholcidae",">50%",0,0,0,0,0,0,0,0,0,0
"233","Piesmatidae","0%",0,0,0,0,0,0,0,0,0,0
"234","Piesmatidae","<50%",0,0,0,0,0,0,0,0,0,0
"235","Piesmatidae",">50%",0,0,0,0,0,0,0,0,0,0
"236","Plataspidae","0%",0,0,0,0,0,0,0,0,0,0
"237","Plataspidae","<50%",2,0,1,0,4,1,0,0,2,1
"238","Plataspidae",">50%",0,0,0,0,0,1,0,0,0,1
"239","Pompilidae","0%",0,0,0,0,0,0,0,0,0,0
"240","Pompilidae","<50%",0,0,0,0,0,0,0,0,0,0
"241","Pompilidae",">50%",0,0,0,0,0,0,0,0,0,0
"242","Pyrgomorphidae ","0%",0,0,0,0,0,0,0,0,0,0
"243","Pyrgomorphidae ","<50%",0,0,0,0,0,0,1,1,0,0
"244","Pyrgomorphidae ",">50%",0,0,0,0,0,0,0,0,1,0
"245","Pyrrhocoridae","0%",0,0,0,1,0,0,0,0,0,0
"246","Pyrrhocoridae","<50%",0,0,0,0,0,0,0,0,0,0
"247","Pyrrhocoridae",">50%",0,0,0,0,0,0,0,0,0,0
"248","Reduviidae","0%",0,0,0,1,0,0,0,0,0,0
"249","Reduviidae","<50%",0,0,0,0,0,0,0,0,0,0
"250","Reduviidae",">50%",0,0,0,0,0,0,0,0,1,0
"251","Rhapalidae","0%",0,0,0,0,0,0,0,0,0,0
"252","Rhapalidae","<50%",0,0,0,0,0,0,0,0,0,0
"253","Rhapalidae",">50%",0,0,0,0,0,0,0,0,0,0
"254","Rhyparochromidae","0%",0,0,0,0,0,0,0,0,0,0
"255","Rhyparochromidae","<50%",0,0,0,0,0,0,0,0,0,0
"256","Rhyparochromidae",">50%",0,0,0,0,0,0,0,0,0,0
"257","Salticidae","0%",0,0,0,0,0,0,0,0,0,0
"258","Salticidae","<50%",0,0,0,0,2,0,0,0,0,0
"259","Salticidae",">50%",1,0,0,0,0,0,0,1,0,0
"260","Scarabaeidae","0%",0,1,4,1,0,0,0,2,0,0
"261","Scarabaeidae","<50%",0,1,0,1,0,0,0,0,0,0
"262","Scarabaeidae",">50%",1,0,0,0,0,0,0,0,0,0
"263","Scatelleridae","0%",0,0,0,0,0,0,0,0,0,0
"264","Scatelleridae","<50%",0,0,0,0,0,0,0,0,0,0
"265","Scatelleridae",">50%",0,0,0,0,0,0,0,0,0,0
"266","Scelionidae","0%",0,0,0,0,0,0,0,0,0,0
"267","Scelionidae","<50%",0,0,0,0,0,0,0,0,0,0
"268","Scelionidae",">50%",0,0,0,0,0,0,0,0,0,0
"269","Scolopendridae","0%",0,0,0,0,0,0,0,0,0,0
"270","Scolopendridae","<50%",0,0,0,0,0,0,0,0,0,0
"271","Scolopendridae",">50%",0,0,0,0,0,0,0,0,0,0
"272","Scutelleridae","0%",0,0,0,0,0,0,0,0,0,0
"273","Scutelleridae","<50%",0,0,0,0,0,0,0,0,0,0
"274","Scutelleridae",">50%",0,0,0,0,0,0,0,0,0,0
"275","Segetriidae","0%",0,0,0,0,0,0,0,0,0,0
"276","Segetriidae","<50%",0,0,0,0,0,0,0,0,0,0
"277","Segetriidae",">50%",0,0,0,0,0,0,0,0,0,0
"278","Sphecidae","0%",0,0,0,0,0,0,0,0,0,0
"279","Sphecidae","<50%",0,0,0,0,0,0,0,0,0,0
"280","Sphecidae",">50%",0,0,0,0,0,0,0,0,0,0
"281","Spirostreptidae","0%",0,0,0,0,0,0,0,0,0,1
"282","Spirostreptidae","<50%",0,0,0,0,0,0,0,0,0,0
"283","Spirostreptidae",">50%",0,0,0,0,0,0,0,0,0,0
"284","Staphylinidae","0%",0,0,0,0,0,0,0,0,0,0
"285","Staphylinidae","<50%",0,0,0,0,0,0,0,0,0,0
"286","Staphylinidae",">50%",0,0,0,0,0,0,0,0,0,0
"287","Stratiomyidae","0%",0,0,0,0,0,0,0,0,0,0
"288","Stratiomyidae","<50%",0,0,0,0,0,0,0,0,0,0
"289","Stratiomyidae",">50%",0,0,0,0,0,0,0,0,0,0
"290","Tenebrionidae","0%",0,0,0,0,0,1,0,0,0,0
"291","Tenebrionidae","<50%",0,0,0,0,0,0,0,0,0,0
"292","Tenebrionidae",">50%",0,0,0,0,0,0,0,0,0,0
"293","Tetrigidae","0%",0,0,0,0,0,0,0,0,0,0
"294","Tetrigidae","<50%",0,0,0,0,0,0,0,0,0,0
"295","Tetrigidae",">50%",0,0,0,0,0,0,0,0,0,0
"296","Tettigoniidae","0%",0,0,0,0,0,0,0,0,0,0
"297","Tettigoniidae","<50%",0,0,0,0,0,0,0,0,0,0
"298","Tettigoniidae",">50%",0,0,0,0,0,0,0,0,0,0
"299","Thericleidae","0%",0,0,0,0,0,0,0,0,0,0
"300","Thericleidae","<50%",0,0,0,0,0,0,0,0,0,0
"301","Thericleidae",">50%",0,0,0,0,0,0,0,0,0,0
"302","Theridiosomatidae","0%",0,0,0,0,0,0,0,0,0,0
"303","Theridiosomatidae","<50%",0,0,0,0,0,0,0,0,0,0
"304","Theridiosomatidae",">50%",0,0,0,0,0,0,0,0,0,0
"305","Thyreocoridae","0%",0,0,0,0,0,0,0,0,0,0
"306","Thyreocoridae","<50%",0,0,0,0,0,0,0,0,0,0
"307","Thyreocoridae",">50%",0,0,0,0,0,0,0,0,0,0
"308","Tingidae","0%",0,0,0,0,0,0,0,0,0,0
"309","Tingidae","<50%",1,0,0,0,0,0,0,0,0,0
"310","Tingidae",">50%",0,0,0,0,0,0,0,0,0,0
"311","Tiphiidae","0%",0,0,0,0,0,0,0,0,0,0
"312","Tiphiidae","<50%",0,0,0,0,0,0,0,0,0,0
"313","Tiphiidae",">50%",0,0,0,0,0,0,0,0,0,0
"314","Tipulidae","0%",0,0,0,0,0,0,0,0,0,0
"315","Tipulidae","<50%",0,0,0,0,0,0,0,0,0,0
"316","Tipulidae",">50%",0,0,0,0,0,0,0,0,0,0
"317","Titanoecidae","0%",0,0,0,0,0,0,0,0,0,0
"318","Titanoecidae","<50%",0,0,0,0,0,0,0,0,0,0
"319","Titanoecidae",">50%",0,0,0,0,0,0,0,0,0,0
"320","Ulidiidae","0%",0,0,0,0,0,0,0,0,0,0
"321","Ulidiidae","<50%",0,0,0,0,0,0,0,0,0,0
"322","Ulidiidae",">50%",0,0,0,0,0,0,0,0,0,0
"323","Unknown","0%",0,0,0,0,0,0,0,0,0,0
"324","Unknown","<50%",0,0,0,0,1,0,0,0,0,0
"325","Unknown",">50%",0,0,0,0,0,0,0,0,3,0
"326","Veliidae","0%",0,0,0,0,0,0,0,0,0,0
"327","Veliidae","<50%",0,0,0,0,0,0,0,0,0,0
"328","Veliidae",">50%",0,0,0,0,0,0,0,0,0,0
"329","Zodariidae","0%",0,0,0,0,0,0,0,0,0,0
"330","Zodariidae","<50%",0,0,0,0,0,0,0,0,0,0
"331","Zodariidae",">50%",0,0,0,0,0,0,0,0,0,0
"332","carabidae","0%",0,0,0,0,0,0,0,0,1,0
"333","carabidae","<50%",0,0,0,0,0,0,0,0,0,0
"334","carabidae",">50%",0,0,0,0,0,0,0,0,0,0
"335","formicidae","0%",0,0,0,0,1,0,1,0,0,0
"336","formicidae","<50%",0,0,0,0,0,0,0,0,0,0
"337","formicidae",">50%",0,0,0,0,0,0,0,0,0,0
"338","lycidae","0%",0,0,0,0,0,0,0,0,0,0
"339","lycidae","<50%",0,0,0,0,0,0,0,0,0,0
"340","lycidae",">50%",0,0,0,0,0,0,0,0,0,0
"341","salticidae","0%",0,0,0,0,0,0,0,0,0,0
"342","salticidae","<50%",0,0,0,0,0,0,0,0,0,0
"343","salticidae",">50%",0,0,0,0,0,0,0,0,0,0
"344","unknown","0%",0,0,0,0,0,0,0,0,0,0
"345","unknown","<50%",0,0,0,0,0,0,0,0,0,0
"346","unknown",">50%",0,0,0,0,0,0,0,0,0,0
