"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig","survey"
"Wet_High vs Dry_Mild",1,0.697746376656704,4.17035367170718,0.188104968168785,0.001,0.015,".","Iguegosagie.b.pairwise"
"Wet_High vs Wet_Mild",1,0.626980521637289,3.14659358028191,0.148799075763008,0.003,0.045,".","Iguegosagie.b.pairwise"
"Wet_High vs Dry_Zero",1,0.615461482769588,3.06628451695425,0.145554120589537,0.013,0.195,"","Iguegosagie.b.pairwise"
"Wet_High vs Wet_Zero",1,1.20784601262716,5.36477860315239,0.229609648534336,0.001,0.015,".","Iguegosagie.b.pairwise"
"Dry_Mild vs Wet_Mild",1,0.915619640411607,5.32690499854315,0.228358841384052,0.001,0.015,".","Iguegosagie.b.pairwise"
"Dry_Mild vs Dry_Zero",1,0.400027611826262,2.30765740188962,0.113634840110849,0.049,0.735,"","Iguegosagie.b.pairwise"
"Dry_Mild vs Wet_Zero",1,1.6087739384691,8.13446200758483,0.311254236081998,0.001,0.015,".","Iguegosagie.b.pairwise"
"Wet_Mild vs Dry_Zero",1,0.925740586537982,4.50934611006719,0.200332168158826,0.003,0.045,".","Iguegosagie.b.pairwise"
"Wet_Mild vs Wet_Zero",1,0.293712703546975,1.27857683418276,0.0663211213763311,0.238,1,"","Iguegosagie.b.pairwise"
"Dry_Zero vs Wet_Zero",1,1.39414165448196,6.03053247677383,0.250952927597526,0.002,0.03,".","Iguegosagie.b.pairwise"
"Dry_High vs Wet_High",1,2.85931310875259,18.6236697922328,0.508514572621625,0.001,0.015,".","Ogua.b.pairwise"
"Dry_High vs Dry_Mild",1,1.24521952332756,6.86763971041674,0.276167734066855,0.003,0.045,".","Ogua.b.pairwise"
"Dry_High vs Wet_Mild",1,2.75811237839013,18.4885334537867,0.506694342133611,0.001,0.015,".","Ogua.b.pairwise"
"Dry_High vs Dry_Zero",1,2.65404390545983,16.1179158709568,0.501835671271924,0.001,0.015,".","Ogua.b.pairwise"
"Dry_High vs Wet_Zero",1,3.52419053855181,34.794163252652,0.659053219314054,0.001,0.015,".","Ogua.b.pairwise"
"Wet_High vs Dry_Mild",1,0.816399139151691,2.71008517183697,0.130858234012593,0.01,0.15,"","Ogua.b.pairwise"
"Wet_High vs Wet_Mild",1,-0.00732920348058253,-0.0272352265571421,-0.00151536098649584,1,1,"","Ogua.b.pairwise"
"Wet_High vs Dry_Zero",1,0.336878223668253,1.12449020237765,0.0656656162658506,0.29,1,"","Ogua.b.pairwise"
"Wet_High vs Wet_Zero",1,0.223707126716532,1.01126699001345,0.0531930349799759,0.386,1,"","Ogua.b.pairwise"
"Dry_Mild vs Wet_Mild",1,0.777442799201713,2.61859315242818,0.127001543367657,0.022,0.33,"","Ogua.b.pairwise"
"Dry_Mild vs Dry_Zero",1,0.770452381533058,2.32876148230291,0.127055037764085,0.018,0.27,"","Ogua.b.pairwise"
"Dry_Mild vs Wet_Zero",1,1.22553904504255,4.92183315500898,0.214722492818313,0.001,0.015,".","Ogua.b.pairwise"
"Wet_Mild vs Dry_Zero",1,0.341445412582203,1.1586690292827,0.0675267427389231,0.264,1,"","Ogua.b.pairwise"
"Wet_Mild vs Wet_Zero",1,0.19695048895529,0.908178511786914,0.0480309888771558,0.486,1,"","Ogua.b.pairwise"
"Dry_Zero vs Wet_Zero",1,0.485037065222626,2.01420469942466,0.11181202462349,0.079,1,"","Ogua.b.pairwise"
"Dry_High vs Wet_High",1,2.80258867447746,18.9372755031541,0.403459197410841,0.001,0.015,".","Ogua.p.pairwise"
"Dry_High vs Dry_Mild",1,0.31260390183885,2.58796630157335,0.0846073346641629,0.006,0.09,"","Ogua.p.pairwise"
"Dry_High vs Wet_Mild",1,1.58261769198771,10.6749750164491,0.276017631864245,0.001,0.015,".","Ogua.p.pairwise"
"Dry_High vs Dry_Zero",1,0.632038578900373,2.84270505641787,0.092167825462065,0.028,0.42,"","Ogua.p.pairwise"
"Dry_High vs Wet_Zero",1,1.06771493914197,8.73131783146732,0.23770772046701,0.001,0.015,".","Ogua.p.pairwise"
"Wet_High vs Dry_Mild",1,2.63246132766218,18.7235956973188,0.400731052862724,0.001,0.015,".","Ogua.p.pairwise"
"Wet_High vs Wet_Mild",1,0.872684096720662,5.19270829031988,0.156441235373199,0.001,0.015,".","Ogua.p.pairwise"
"Wet_High vs Dry_Zero",1,2.03991661338809,8.42447751622272,0.231286159491804,0.001,0.015,".","Ogua.p.pairwise"
"Wet_High vs Wet_Zero",1,1.34563361133717,9.47027394328066,0.2527409849636,0.001,0.015,".","Ogua.p.pairwise"
"Dry_Mild vs Wet_Mild",1,1.46322799962591,10.3879928416957,0.270605261508037,0.001,0.015,".","Ogua.p.pairwise"
"Dry_Mild vs Dry_Zero",1,0.565040654016439,2.62883316521842,0.0858287075788338,0.011,0.165,"","Ogua.p.pairwise"
"Dry_Mild vs Wet_Zero",1,0.928573604989826,8.082400012763,0.223998403928345,0.001,0.015,".","Ogua.p.pairwise"
"Wet_Mild vs Dry_Zero",1,1.20913218747203,4.98810089978101,0.151209095514017,0.001,0.015,".","Ogua.p.pairwise"
"Wet_Mild vs Wet_Zero",1,0.862137776828145,6.05638200219496,0.17783398136081,0.001,0.015,".","Ogua.p.pairwise"
"Dry_Zero vs Wet_Zero",1,0.766679070484821,3.54232205413862,0.112303781822361,0.002,0.03,".","Ogua.p.pairwise"
"Dry_High vs Wet_High",1,1.53462283621298,12.3811681583062,0.306607478757632,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Dry_High vs Dry_Mild",1,0.357538210653532,2.85440173809842,0.0925119781069637,0.011,0.165,"","Iguovbiobo.p.pairwise"
"Dry_High vs Wet_Mild",1,1.13650626209373,7.29143123531644,0.206606277503981,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Dry_High vs Dry_Zero",1,0.708958233702252,5.91002709798847,0.174285531560046,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Dry_High vs Wet_Zero",1,1.10491304146574,7.50055034163754,0.211279832832348,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Wet_High vs Dry_Mild",1,1.92357382350357,18.333075069253,0.395680084731069,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Wet_High vs Wet_Mild",1,0.428864674064731,3.16426154143388,0.101534943711947,0.003,0.045,".","Iguovbiobo.p.pairwise"
"Wet_High vs Dry_Zero",1,1.47095985634211,14.7651623989337,0.345261459811547,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Wet_High vs Wet_Zero",1,0.333834808088038,2.62911592273283,0.0858371468953013,0.005,0.075,"","Iguovbiobo.p.pairwise"
"Dry_Mild vs Wet_Mild",1,1.74335418553271,12.739692632201,0.312709591287673,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Dry_Mild vs Dry_Zero",1,1.28454074354475,12.726531098653,0.312487480650516,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Dry_Mild vs Wet_Zero",1,1.58220549921771,12.3333777690183,0.305785888790401,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Wet_Mild vs Dry_Zero",1,1.24480156871937,9.46298474753089,0.252595590322113,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Wet_Mild vs Wet_Zero",1,0.207176146813088,1.30384194249593,0.0444938907688114,0.185,1,"","Iguovbiobo.p.pairwise"
"Dry_Zero vs Wet_Zero",1,1.32983198493081,10.8128318812649,0.27858909945925,0.001,0.015,".","Iguovbiobo.p.pairwise"
"Dry_High vs Wet_High",1,1.29984975083768,11.9292623806052,0.398581903853923,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_High vs Dry_Mild",1,0.182188865065109,1.70648351236523,0.086595029057034,0.096,1,"","Iguovbiobo.b.pairwise"
"Dry_High vs Wet_Mild",1,1.15013052227779,8.06035308938759,0.309295620889725,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_High vs Dry_Zero",1,0.369471923775493,3.1674741401429,0.149638739094334,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_High vs Wet_Zero",1,1.93727364290887,16.1465778327596,0.472860791843945,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Wet_High vs Dry_Mild",1,1.06695181329744,10.6002904690212,0.370635762615875,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Wet_High vs Wet_Mild",1,0.23513570188832,1.72159472003238,0.0872949041125795,0.05,0.75,"","Iguovbiobo.b.pairwise"
"Wet_High vs Dry_Zero",1,0.945061799621243,8.54981555188594,0.322029188307435,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Wet_High vs Wet_Zero",1,2.18689130599573,19.2050268528083,0.51619440912616,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_Mild vs Wet_Mild",1,1.01883639949638,7.58176815131635,0.296373890439087,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_Mild vs Dry_Zero",1,0.169345249157117,1.56315499746063,0.079903011434686,0.155,1,"","Iguovbiobo.b.pairwise"
"Dry_Mild vs Wet_Zero",1,2.35721065799106,21.1086448283109,0.539743704262293,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Wet_Mild vs Dry_Zero",1,1.06792726315974,7.4026597424506,0.291412781870237,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Wet_Mild vs Wet_Zero",1,1.64387670060064,11.1375653570246,0.382240767907519,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_Zero vs Wet_Zero",1,2.62368172530871,21.5846287260621,0.545278038994238,0.001,0.015,".","Iguovbiobo.b.pairwise"
"Dry_High vs Wet_High",1,2.33948005051057,25.0261003828451,0.471958152724002,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_High vs Dry_Mild",1,0.359214835035871,4.6959630798178,0.143625164622127,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_High vs Wet_Mild",1,2.81012878059931,24.8325847298019,0.470024036431333,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_High vs Dry_Zero",1,0.432388397952405,4.829162212838,0.147099770062044,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_High vs Wet_Zero",1,2.08163290874186,24.9104996793873,0.470804468495538,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Wet_High vs Dry_Mild",1,1.49102952091369,12.460473867215,0.307966582598818,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Wet_High vs Wet_Mild",1,2.9453735017565,18.8408272905381,0.402230882338493,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Wet_High vs Dry_Zero",1,1.69253034009489,12.7542457908403,0.312955019614347,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Wet_High vs Wet_Zero",1,0.395800025823455,3.12315507199469,0.100348279754098,0.003,0.045,".","Ahor_Urokosa.p.pairwise"
"Dry_Mild vs Wet_Mild",1,2.46772921590677,17.709861778469,0.387440720435759,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_Mild vs Dry_Zero",1,0.147994901261663,1.27894853880226,0.0436815050618132,0.234,1,"","Ahor_Urokosa.p.pairwise"
"Dry_Mild vs Wet_Zero",1,1.28750279758035,11.7319156106864,0.295276868239672,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Wet_Mild vs Dry_Zero",1,2.04090797997265,13.3931344375502,0.323559320151423,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Wet_Mild vs Wet_Zero",1,3.13802293072934,21.432799581916,0.433574463983156,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_Zero vs Wet_Zero",1,1.24968612026201,10.177744180552,0.266588411625867,0.001,0.015,".","Ahor_Urokosa.p.pairwise"
"Dry_High vs Wet_High",1,2.05743230367892,19.9209041853363,0.525327774041831,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Dry_High vs Dry_Mild",1,0.399411312950931,3.36551193874834,0.157520772186351,0.006,0.09,"","Ahor_Urokosa.b.pairwise"
"Dry_High vs Wet_Mild",1,1.00814859125754,8.8686601265571,0.330074521199934,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Dry_High vs Dry_Zero",1,0.434856603718856,3.14755201601569,0.148837653343136,0.003,0.045,".","Ahor_Urokosa.b.pairwise"
"Dry_High vs Wet_Zero",1,1.03063442826289,7.35791851313977,0.290162558465794,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Wet_High vs Dry_Mild",1,1.51915759786535,10.1435395953428,0.360421600878567,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Wet_High vs Wet_Mild",1,0.529323602528699,3.6564661984635,0.16883946646489,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Wet_High vs Dry_Zero",1,1.53493414011544,9.06928246403088,0.335039633063121,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Wet_High vs Wet_Zero",1,0.62624090628189,3.6588091893979,0.168929379145595,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Dry_Mild vs Wet_Mild",1,0.716829673266077,4.47567146862517,0.199134049226203,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Dry_Mild vs Dry_Zero",1,0.194869079941713,1.05538274960644,0.0553850197329803,0.392,1,"","Ahor_Urokosa.b.pairwise"
"Dry_Mild vs Wet_Zero",1,0.71740537710228,3.84549359509158,0.176031435424083,0.001,0.015,".","Ahor_Urokosa.b.pairwise"
"Wet_Mild vs Dry_Zero",1,0.668648786701757,3.72214480771261,0.171352545554849,0.002,0.03,".","Ahor_Urokosa.b.pairwise"
"Wet_Mild vs Wet_Zero",1,0.304589694385785,1.67767076531485,0.0852575889353746,0.061,0.915,"","Ahor_Urokosa.b.pairwise"
"Dry_Zero vs Wet_Zero",1,0.726300738587802,3.52510240233552,0.163767044469579,0.002,0.03,".","Ahor_Urokosa.b.pairwise"
