Family,Chromolaena_level,Archotermopsidae,Armadillidiidae,Carabidae,Chrysomelidae,Ctenidae,Formicidae,Gryllidae,Linyphiidae,Paradoxomatidae,Pentatomidae,Plataspidae,Spirostreptidae,Tenebrionidae,Unknown,Forficulidae,Tettigoniidae,Nitidulidae,Cydnidae,Method
PT15,0%,0,0,1,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,PT
BT1,<50%,0,0,0,2,0,4,0,1,0,1,1,0,1,3,0,0,0,0,BT
BT2,<50%,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,BT
BT3,<50%,0,0,0,1,0,5,0,1,0,0,1,0,1,1,0,0,0,0,BT
BT4,<50%,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,BT
BT5,<50%,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,BT
BT6,<50%,0,0,0,1,0,3,0,2,0,0,0,0,0,2,0,0,0,0,BT
BT7,<50%,0,0,0,2,0,8,0,1,0,0,1,0,1,3,0,0,0,0,BT
BT8,<50%,0,0,0,0,0,2,0,0,0,2,2,0,3,1,0,0,0,0,BT
BT9,<50%,0,0,0,0,0,7,0,0,0,1,0,0,2,2,0,0,0,0,BT
BT10,<50%,0,0,0,0,0,1,0,0,0,1,2,0,2,1,0,0,0,0,BT
PT1,<50%,0,0,0,1,0,6,5,0,0,0,0,0,0,1,0,0,0,0,PT
PT2,<50%,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,PT
PT3,<50%,0,0,0,0,0,4,2,0,1,0,0,0,0,2,0,0,0,0,PT
PT4,<50%,0,2,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,PT
PT5,<50%,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,PT
PT6,<50%,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,PT
PT7,<50%,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,PT
PT8,<50%,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,PT
PT9,<50%,0,1,2,0,3,3,3,0,1,0,0,0,0,3,0,0,0,0,PT
PT10,<50%,0,1,0,0,0,4,2,0,2,0,1,0,0,1,0,0,0,0,PT
PT11,<50%,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,PT
PT12,<50%,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,PT
PT13,<50%,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,PT
PT14,<50%,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,PT
PT15,<50%,3,4,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,PT
BT1,>50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT2,>50%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT3,>50%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT4,>50%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT5,>50%,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT6,>50%,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT7,>50%,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT8,>50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT9,>50%,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,BT
BT10,>50%,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,BT
PT1,>50%,0,6,2,0,0,2,4,0,0,0,0,0,0,2,0,0,1,1,PT
PT2,>50%,0,0,2,0,0,11,4,0,0,0,0,0,0,0,0,0,1,1,PT
PT3,>50%,0,1,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,PT
PT4,>50%,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,PT
PT5,>50%,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,PT
PT6,>50%,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,PT
PT7,>50%,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,PT
PT8,>50%,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,PT
PT9,>50%,0,1,1,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,PT
PT10,>50%,0,0,0,0,0,11,3,0,0,0,0,0,0,3,0,0,0,0,PT
PT11,>50%,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,PT
PT12,>50%,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,PT
PT13,>50%,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,PT
PT14,>50%,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,PT
PT15,>50%,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,PT
