LGA,Village,Gradient,Niche,Seasons,Replicates,Total
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT14,14
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT15,21
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT1,11
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT2,14
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT3,5
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT4,23
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT5,17
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT6,7
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT7,12
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT8,14
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT9,11
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT10,14
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT11,14
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT12,14
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT13,18
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT14,21
Ovia NE,Ogua,High infestation,ground-dwelling,Wet,PT15,33
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt1,1
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt2,5
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt3,6
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt4,48
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt5,11
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt6,1
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt7,6
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt8,10
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt9,3
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt10,7
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt11,1
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt12,3
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt13,1
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt14,27
Ovia NE,Ogua,Zero infestation,ground-dwelling,Dry,Pt15,56
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt1,56
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt2,53
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt3,35
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt4,12
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt5,21
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt6,18
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt7,17
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt8,20
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt9,47
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt10,8
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt11,30
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt12,13
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt13,227
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt14,3
Ovia NE,Ogua,Mild infestation,ground-dwelling,Dry,Pt15,45
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt1,14
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt2,46
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt3,18
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt4,78
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt5,36
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt6,2
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt7,24
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt8,173
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt9,83
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt10,6
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt11,93
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt12,68
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt13,48
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt14,46
Ovia NE,Ogua,High infestation,ground-dwelling,Dry,Pt15,20
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt1,17
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt2,22
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt3,12
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt4,8
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt5,12
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt6,17
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt7,32
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt8,11
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt9,10
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt10,17
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt11,19
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt12,14
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt13,14
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt14,11
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Wet,Pt15,9
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT1,14
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT2,8
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT3,13
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT4,9
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT5,4
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT6,5
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT7,7
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT8,7
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT9,20
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT10,13
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT11,10
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT12,7
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT13,7
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT14,4
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Wet,PT15,20
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT1,18
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT2,23
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT3,10
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT4,8
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT5,10
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT6,8
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT7,9
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT8,11
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT9,18
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT10,17
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT11,9
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT12,18
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT13,23
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT14,11
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Wet,PT15,8
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt1,30
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt2,26
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt3,34
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt4,50
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt5,43
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt6,26
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt7,25
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt8,22
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt9,33
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt10,20
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt11,17
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt12,31
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt13,41
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt14,69
Ovia NE,Iguegosagie,Zero infestation,ground-dwelling,Dry,Pt15,29
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt1,14
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt2,15
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt3,22
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt4,64
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt5,15
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt6,15
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt7,8
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt8,9
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt9,19
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt10,12
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt11,11
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt12,6
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt13,11
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt14,13
Ovia NE,Iguegosagie,Mild infestation,ground-dwelling,Dry,Pt15,1
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt1,35
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt2,33
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt3,30
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt4,43
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt5,76
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt6,61
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt7,41
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt8,23
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt9,46
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt10,18
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt11,41
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt12,85
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt13,53
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt14,38
Ovia NE,Iguegosagie,High infestation,ground-dwelling,Dry,Pt15,28
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf1,17
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf2,21
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf3,12
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf4,8
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf5,12
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf6,16
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf7,30
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf8,11
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf9,10
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf10,15
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf11,14
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf12,12
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf13,14
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf14,11
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Wet,Pf15,9
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf1,14
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf2,8
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf3,13
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf4,9
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf5,4
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf6,5
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf7,7
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf8,7
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf9,20
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf10,13
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf11,10
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf12,7
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf13,7
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf14,4
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Wet,Pf15,20
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf1,16
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf2,13
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf3,13
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf4,11
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf5,7
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf6,10
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf7,17
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf8,18
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf9,26
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf10,13
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf11,14
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf12,15
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf13,9
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf14,12
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Wet,Pf15,19
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt1,126
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt2,148
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt3,278
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt4,56
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt5,176
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt6,86
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt7,80
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt8,35
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt9,71
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt10,60
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt11,39
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt12,37
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt13,41
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt14,65
Uhunmwonde ,Iguoviobo,Zero infestation,ground-dwelling,Dry,Pt15,12
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt1,14
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt2,25
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt3,8
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt4,22
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt5,29
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt6,28
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt7,39
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt8,70
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt9,35
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt10,19
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt11,22
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt12,50
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt13,21
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt14,8
Uhunmwonde ,Iguoviobo,Mild infestation,ground-dwelling,Dry,Pt15,25
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt1,27
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt2,34
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt3,15
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt4,12
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt5,21
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt6,48
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt7,24
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt8,6
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt9,19
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt10,11
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt11,10
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt12,8
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt13,32
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt14,12
Uhunmwonde ,Iguoviobo,High infestation,ground-dwelling,Dry,Pt15,3
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf1,11
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf2,107
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf3,22
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf4,23
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf5,8
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf6,14
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf7,30
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf8,15
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf9,21
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf10,20
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf11,17
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf12,6
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf13,7
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf14,6
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Wet,Pf15,4
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf1,13
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf2,19
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf3,20
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf4,18
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf5,15
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf6,14
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf7,14
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf8,16
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf9,13
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf10,10
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf11,7
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf12,4
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf13,8
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf14,18
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Wet,Pf15,9
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf1,5
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf2,7
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf3,19
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf4,11
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf5,17
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf6,10
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf7,11
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf8,19
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf9,17
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf10,17
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf11,13
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf12,11
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf13,15
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf14,18
Uhunmwonde ,Ahor-Urokosa,High infestation,ground-dwelling,Wet,Pf15,18
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt1,9
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt2,13
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt3,8
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt4,12
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt5,13
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt6,13
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt7,12
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt8,20
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt9,23
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt10,14
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt11,12
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt12,5
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt13,12
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt14,18
Uhunmwonde ,Ahor-Urokosa,Zero infestation,ground-dwelling,Dry,Pt15,5
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt1,24
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt2,33
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt3,43
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt4,13
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt5,10
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt6,50
Uhunmwonde ,Ahor-Urokosa,Mild infestation,ground-dwelling,Dry,Pt7,30
